Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation,
https://www.counterextremism.com/extremists/abu-bakr-al-iraqi-aka-milk-sheikh,Website,"the Positive consequences of #brusselsattack is that Belgium will carry out mass arrests, which will lead to further recruitment for IS",Recruitment,Belgium,USA,
https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,I can not be bothered by hidden messages anymore! So please message me if you want to kill kuffar #IS,Recruitment,-,USA,
https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,We're waiting in Raqqah to behead the PKK. We can smell their blood already. #IS,Recruitment,-,USA,
https://www.counterextremism.com/extremists/neil-prakash,Website,May Allah reward the one who spreads this account #IS,Recruitment,-,USA,
https://www.counterextremism.com/extremists/neil-prakash,Website,For  help with Hijrah you can come to me or any of my beloved brothers,Recruitment,-,USA,
https://www.counterextremism.com/extremists/abu-samir-almaghrebi-aka-zoutedrop3434,Website,If people just know what Allah says in the Qur'an about people staying behind and not going forth in his cause. They are the losers.,Propaganda,-,USA,
https://www.counterextremism.com/extremists/abu-samir-almaghrebi-aka-zoutedrop3434,Website,if someboy knows a trusted brother in the blessed land. Please contact me DM. I need some help.,Recruitment,-,USA,
https://www.counterextremism.com/extremists/epic,Website,IS needs few hundred fighters to establish territory in France,Recruitment,France,USA,
https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,whoever can giv me a ShoutOut should please do so cos you'll be helpin raise awareness about hijrah to IS Libya. Your reward is with Allah.,Recruitment,Libya,USA,
https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,Yes! I am a Terrorist! Kill Kill Kill infidel ,Recruitment,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"This is the time for Muslim Kurds in Turkey to
show whether they can ever counter PKK.",Recruitment,Turkey,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@EbuRuana so if it is not right to make dua [the
Islamic act of calling out to Allah] for a kafir [a
disbeliever, someone who rejects Allah and who
does not believe in Muhammad as the final
messenger of Allah], what is the right thing to do
?",Recruitment,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@banihillal blend in like you are the most anti-
jihadist guy one can think of. @isinlibya
@ummussamah11",Recruitment,Libya,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@DaniyalYasin93 The question is to you:can
you,as a Muslim,counter-argue any of the points
made in that segment quoted from Dabiq
Magazine?",Recruitment,-,USA,
"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"If you need to contact me then follow me on Twitter
(@_UmmLayth) or Kik me (_axa)",Recruitment,-,USA,
"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"And I am in no way demeaning those who havent yet
embarked upon this journey and most importantly I am not
at all deterring sisters from choosing this path—I just want to
paint a realistic picture of what is in store for the sisters here.",Recruitment,-,USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article," Allahu Akbar, 5 Jews were sentto hell by two brave Muslims. Allahu Akbar, if only every   Muslim   could   kill   1   Jew,   everything   would   change",Recruitment,-,USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,We  are  your  brothers  from  Indonesia  who  have  come  to  the  Islamic State. We emigrated for the sake of hijrah and jihad following in the path of Allah.,Recruitment,Indonesia,USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,"We need the engineers, the doctors, the professionals, we need volunteers and fundraising, we need everything and there is a role for everybody. Every person can contribute something to the Islamic State. If you cannot fight, you can give money, and if you cannot give money, you can assist in technology, if you cannot assist in technology, you can use some other skills, you can even come here and help rebuild . . . There is a role for everyone here in Syria.” ",Recruitment,-,USA,
"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,Look  at  the Muslims  they  killed. Look  at  the  child.  They  killed  his  father.,Recruitment,-,USA,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"And why should ye not fight in the cause of Allah and of those who, being weak, are ill-
treated (and oppressed)? Men, women, and children, whose cry is: ‘Our Lord! Rescue
us from this town, whose people are oppressors; and raise for us from thee one who will
protect; and raise for us from thee one who will help!",Recruitment,-,USA,
"Neelamar et.al ""A Critical Analysis of the Jihadi Discourse through Online Magazines with Special Reference to ‘Wyeth’ Magazine""",Research Article,"They will fight and fight till sacred goal is achieved. I salute the people of J&K for
their determination, dedication and conviction.",Recruitment,-,USA,
"Alexander Meleagrou-Hitchens ""https://icsr.info/wp-content/uploads/2012/11/ICSR-Report-Lights-Camera-Jihad-al-Shabaab%E2%80%99s-Western-Media-Strategy.pdf""",Report,"I am doing this martyrdom operation for the sake of Allah. I advise you to migrate to Somalia and wage war against your enemies. Death in honor is better than life in humiliation…To the Somalis living abroad, are you happy in your comfort while your religion, your people are being attacked and humiliated?",Recruitment,Somalia,USA,
"Lakomy et.al ""Recruitment and Incitement to Violence in the Islamic State’s Online Propaganda: Comparative Analysis of Dabiq and Rumiyah""",Research Article,"Therefore, rush O Muslims to your state. Yes, it is your state. Rush, because Syria isnot for the Syrians, and Iraq is not for the Iraqis. [...] The state is a state for all Muslims. [...] O Muslims everywhere, whoever is capable of performing hijrah  to the Islamic State, then let him do so, because hijrah to the land of Islam is obligatory",Recruitment,Syria,USA,
"Lakomy et.al ""Recruitment and Incitement to Violence in the Islamic State’s Online Propaganda: Comparative Analysis of Dabiq and Rumiyah""",Research Article,"So if the schemesof the tawaghit have prevented you from performing hijrah to Iraq and Sham, thenknow that the doors of hijrah will remain open until the Hour is established. So who-ever is unable to perform hijrah to Iraq and Sham, then he should perform hijrah toLibya, Khurasan, Yemen, Sinai, West Africa, or any of the other wilayat and outposts ofthe Khilafah in the East and the West",Recruitment,"Iraq, Libya, Yemen",USA,
"Lakomy et.al ""Recruitment and Incitement to Violence in the Islamic State’s Online Propaganda: Comparative Analysis of Dabiq and Rumiyah""",Research Article,This obligation is nowclearer than ever before for all Muslims to raise their voices and pledge allegiance toImamul-Muslimin  and  Amirul-Mu’minin—the  Khalifah—Abu  Bakr  al-Husayni  al-Baghdadi,Recruitment,-,USA,
Hasan,Research Article,"I encourage all my brothers who are still in France and in
the West to defend religion (...) you are sitting on your sofas while
other Muslims are being massacred, what will be your excuse
before Allah?",Recruitment,France,USA,
"Winter ""Media Jihad:The Islamic State’s Doctrine for Information Warfare""",Research Article,"Inciting others to join the jihad is tantamount to engaging in the jihad oneself, as is steering others towards it and opening their eyes to it. The one who incites is a mujahid in the way of Allah the Almighty",Recruitment,-,USA,
"Kohen et.al ""The Making of a Hero: Cultivating Empathy, Altruism, and Heroic Imagination """,Research Article,Hijrah,Recruitment,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@Himalaya888 you do realize IS wants to
destroy every single nation-state,Arab or Kurd or
communist doesnt matter, that they come across?",Radicalization,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Real warriors, I mean those who are not fags,
dont need air support.",Radicalization,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"#IS blows up police station in downtown Kobane
where YPG were holed up. #Syria",Radicalization,-,USA,
"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"Notice this recent uptick of IS activity in Qara
Teppe?
multiple VBIEDs hitting PUK
,Pesh,Asayesh ?Guess where else that happened",Radicalization,-,USA,
https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,Lets hope Islamic State creates new Wilayat faster then I run out of accounts.:),Radicalization,-,USA,
https://www.counterextremism.com/extremists/neil-prakash,Website,May Allah aid the brothers in France,Radicalization,France,USA,
https://www.counterextremism.com/extremists/abu-samir-almaghrebi-aka-zoutedrop3434,Website,Nowadays if you give Da wah in public. The Justice Department of Kuffar will say that you are doing hate speech. Result: Prison Time,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-bakr-al-iraqi-aka-milk-sheikh,Website,Munafiqeen,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abdulrahman-tn-aka-tawheednetwrk,Website,The Shia animals rapes Sunni women because they were named Aisha and Hafsah. No women were more violated than Sunnis at hands of Shia ,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,Islam is here to destroy and humiliate all types of falsehood until there is only truth,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,Islam is here to help u raise your children in the best of ways,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,Islam is here to offer u cures and solution to your problems  ,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,Islam is here to destroy draconian laws and establish justice which will bring stability and peace,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,O foolish people. U very well know Islam will conquer the world. So why go against it. Advice: Embrace Islam and rally with it.,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,There is no honor except in Islam. Otherwise u are a low life scum,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-mutassim-aka-abumutassim03,Website,Cutting off theifs hand is part of Islam. Only theives shud have a problem wjth this. The rest should feel secure their belongings r safe,Radicalization,-,USA,
https://www.counterextremism.com/extremists/amal-aka-bintrose52,Website,How can coconuts complain about expanding of the IS when it happens with Allah's permission,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"You only die once let it be for Allah
Inside the haram shareef",Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,This ummah will always be filled with those who run towards Allah never diverting their gaze never looking back,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"Whoever allies with, supports by money, word or body the crusader coalition against Ahl sunnah is an murtad kaafar",Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,The ‘Islam of the west’were all the rules of our deen are usurped by Kufr ideals and practices. Dar Kufr,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,This is a frontier of Islam don't underestimate your role Allah may guide someone with your words always purify Niyah,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"Only the hypocrites fight for the worshipers of the cross this is the sunnah of Allah,camp of Kufr vs camp of Emaan",Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,It is our Minhaj to declare Kufr upon those who ally with the disbelievers against the believers and to hate them,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,#texasattack competing to insult the messenger Mohammed that is the issue under the guise of freedom of speech they declare war on Islam,Radicalization,-,USA,
https://www.counterextremism.com/extremists/abu-izzadeen,Website,"The Sunnah is 2confront the disbelief openly, in a direct&forcefully manner wherever that may be #StayMuslimDontVote",Radicalization,-,USA,
"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"Even though last year was my most depressed year ever I’m
so happy everything that happened to me, happened.
Because if it didn’t, I wouldn’t have realized how amazing my
life is with Allah in it",Radicalization,-,USA,
"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"Hijrah has a comprehensive meaning as understood in Islam.
It is not simply just the act of moving from one place to
another; from a non-Muslim country to a Muslim country. Ibn
al-Qayyim explains that it is, in fact, an emigration of the
body and the spirit.",Recruitment,-,USA,
"Kursuncu ""Modeling Islamist Extremist Communications on Social Media using Contextual Dimensions""",Research Article,"Anyone who prefers to raise secularism over Islam is a kafir, whether he’s from Saudi, Sudan,
Somalia, Mexico, Burma, Hawaii, or elsewhere.",Radicalization,"Saudi Arabia, Sudan, Mexico,Somalia, Myanmar, Hawaii",USA,
"Kursuncu ""Modeling Islamist Extremist Communications on Social Media using Contextual Dimensions""",Research Article,"Here is the fragrance of Paradise, Here is the field of Jihad. Here is the land of #Islam, Here is
the land of the Caliphate",Radicalization,-,USA,
"Kursuncu ""Modeling Islamist Extremist Communications on Social Media using Contextual Dimensions""",Research Article,and Jihad means to sacrifice YOURSELF in war to save your country,Radicalization,-,USA,
"Saif et.al ""A Semantic Graph-Based Approach for Radicalisation Detection on Social Media""",Research Article,"Allah , Prophet , Khilafah",Radicalization,-,USA,
"Winter ""Media Jihad:The Islamic State’s Doctrine for Information Warfare""",Research Article,"To every media operative brother in the Islamic State, you should know and be convinced of the following fact, [that] the media is a jihad in the way of Allah [and that] you, with your media work, are therefore a mujahid in the way of Allah",Radicalization,-,USA,
"Kohen et.al ""The Making of a Hero: Cultivating Empathy, Altruism, and Heroic Imagination """,Research Article,"Istishadi, istishad",Radicalization,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"This is a deliberate choice of words. As we state on page 49 in NATURE'S ETERNAL RELIGION, if we are for White Racial supremacy then we must stop giving them credit and respect which they did not earn, do not deserve, and never did. Again, it is very strange that the same people who are so affronted by the niggers not getting their ""proper respect"" are totally unconcerned about the vicious, unwarranted attacks by the niggers and other mud races upon the White Race and will not lift a finger in the defense of their own kind. They seem to deem it quite proper that the niggers should be loyal to their race, the Jews should be loyal to their race, but when the White Man is asked to show a loyalty to his own race, he is immediately denounced, even by members of his own race, as being a racist, a bigot, a Nazi, and many other derogatory smear words that the Jews have concocted.",White Supremacist,Propaganda,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"Most victims of race crime - about 90 per cent - are White. Almost 1 million White Americans were murdered, robbed, assaulted or raped by black Americans in 1992, compared with about 132,000 blacks who were murdered, robbed, assaulted or raped by Whites. Blacks are committing more than 50 times the number of violent racial crimes of Whites.",White Supremacist,Propaganda,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"WE BELIEVE that the Cananite Jew is the natural enemy of our Aryan (White) race. This is attested by scripture and all secular history. The Jew is like a destroying virus that attacks our racial body to destroyer Aryan culture and the purity of our Race. Those of our Race who resist these attacks are called ""chosen and faithful"" John 8:44; 1Thessalonians 2:15; Revelations 17:14.",White Supremacist,Radicalization,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"The culture of a race, free of alien influences, is telling evidence of that race's essential nature. The African Negro with a cow-dung hairdo, a bone through his nose, and teeth filed down to sharp points, in other words, presents to us a far more accurate image of the Negro essence than does the American Black in a business suit who has been trained to drive an automobile, operate a typewriter, and speak flawless English ... . Negro culture inferiority is the consequence of the physical inadequacy of the Negro brain in dealing with abstract concepts. On the other hand, the Negro shows an ability approaching that of the White at mental tasks requiring only memory. That is why the Negro can be trained relatively easily to adapt to many aspects of White culture ... . It has been well known since the large-scale intelligence testing of U.S. Army recruits in World War I that the average Negro IQ is approximately 15 per cent below that of the average White. Apologists for the Blacks have tried to explain away the earlier test scores as being due to the effects of segregated schools and Black poverty; i.e. they claimed the tests were ""culturally"" biased",White Supremacist,Radicalization,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"Influential organizations and much of the western media promote a quasi-religious Anne Frank cult. She has become a kind of secular saint. Along with many other Belsen camp inmates, Anne came down with typhus, from which she died in mid-March 1945. She was not killed or murdered. Anne Frank perished - like millions of others, both Jewish and non-Jewish, in Europe during that terrible time - an indirect victim of history's most devastating war ... . Few people realize that Anne, along with father and sister, and thousands of other Jews, ""survived"" Auschwitz-Birkenau. Her father, Otto Frank, came down with typhus and was transferred to the camp infirmary there to recover. He was one of thousands of sick and feeble Jews who were left behind when the Germans abandoned the camp in January 1945, shortly before it was overrun by the Soviets. He died in Switzerland inAugust 1980 ... . If the German policy had been to kill Anne Frank and her father, they would not have survived Auschwitz-Birkenau. Their fate, as tragic as it was, cannot be reconciled with the Holocaust extermination story.",White Supremacist,Propaganda,"Switzerland, Germany",USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"[The Holocaust] along with Christianity, ranks as one of the biggest lies and biggest hoaxes in history. Privately, among themselves, the Jews published the growth of their total world population between 1938 and 1948, as increasing from approximately 16,600,000 to 17,650,000, an increase of over a million. This would be an outrageous impossibility, if it had been decimated by 6,000,000 during this same period ... . It has reaped tremendous dividends for them. Having worldwide monopoly of the propaganda machinery, they were able to put that lie across with little or no opposition.",White Supremacist,Propaganda,Germany,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"For many years, scholars and researchers have been delving into the history of World War II, and their research has cast a lot of doubt on the commonly accepted 6 million figure for Jewish losses in that war. Now undoubtedly you've heard Jewish spokesmen decrying this movement among historians and researchers to bring our history books into closer accord with the facts. This movement is usually called ""revisionism,"" because of the belief of its adherents that the history of wars is usually written by the victors, and the victors often have a lot of reasons for lying: covering up their own atrocities, and justifying extreme actions taken against those they wish to paint as ""evil."" But what these Jewish spokesmen haven't told you is that it isn't only Revisionists who have questioned the six million figure. Even establishment historians and even official Jewish ""Holocaust"" historians have been forced by new studies and documents to drastically revise that figure downward.",White Supremacist,Propaganda,Germany,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"I just recently graduated high school in southern Oklahoma. I do not consider myself to be a racist, but I noticed that the black students at my school oppressed the white students. They hated the white kids that did not conform to their way. I remember an incident where a friend of mine and another student were playing in the halls, like all kids do, and accidentally bumped into a black kid. I was there, and he did not do it on purpose. He tried to apologize to the black, but by that time a group of other black students were approaching. All the blacks ganged up around my friend, so I stood in his defense. Then out of nowhere one of the black kids spit on me! Of course I then retaliated with a blow to the guy's face, then they all jumped in on me and I was out numbered 6 to 1! The teachers broke up the fight. We were all taken to the office. I tried to explain what had happened to the principal, but he would not listen to my account and sentenced me and the 6 black kids to detention. I thought it to be unfair and a weak stand on his part! And my friend was too scared of them to stand up for me because they had threatened him. That is just one of many instances that I recall. Such a shame the school never made a stand against this and many other occasions like this.",White Supremacist,Recruitment,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,Asians in [B]radford at the moment have launched a series of shootings over the last three weeks. none of this has been in national news papers or nationalitv. it does show that the [A]sian population of [B]radford are armed and ready . [A]fter recent riotings  and past all with no arrests isn't it about time somthing was done. [A]reas of [B]radford are no go zones for whites [M]anningham just one example. coming from [B]radford [I] find this really bugging not to be able to walk the streets of my home town.,White Supremacist,Recruitment,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,That is a sad situation. Things like that are all too common. I am from Mesa Arizona and the white population seems scarce here. All the [M]exicans and blacks are controling our streets. They have an attitude that they are better than us and that we won't do anything about it. [W]e need to take back America and the streets. I feel that Whites should be the predominant force in [A]merica. Whites can hardly walk down the street anywhere without being threatened. We must unite.,White Supremacist,Recruitment,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"[T]he [N]iggers in [S]yracuse, [NY] are the same way. [W]e need to unite. the [N]iggers may be 100 or so years behind us when it comes to rational thought and brain power, but, that is what makes those monkeys dangerous",White Supremacist,Recruitment,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"He is someone who loves his Race and his Land more than he is concerned for his own welfare. He is neither an intellectual snob nor a street brawler. He is intelligent and educated enough to know what he is fighting for and brave enough to stand up for his beliefs when push comes to shove. He is someone who practices what he preaches, and who backs up his words with his deeds. He is definitely not someone who is long on talk and short on action.",White Supremacist,Radicalization,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"Always start off small. Many small victories are better than one huge blunder (which may be the end of your career as a Lone Wolf). Every little bit counts in a resistance ... . The less any outsider knows, the safer and more successful you will be ... . Communication is a good thing, but keep your covert activities a secret. This will protect you as well as others like you ... . Never keep any records of your activities that can connect you to the activity ... . The more you change your tactics, the more effective you will become. Random chaos is never predictable... . Have a ""rainy day"" fund set aside in a safety deposit box (out of your local area and not in a high activity area), complete with new ID just in the event that something unexpected goes wrong.",White Supremacist,Recruitment,-,USA,
"Ray and Marsh ""Recruitment by extremist groups on the Internet""",Research Article,"He was a selfless man who gave his life in the resistance to Jewish/mud tyranny - a man who for whatever reason ultimately decided that violence was the way to strike back against the enemies of our people - enemies who had used violence against our people for
centuries. He was loyal to the core and who always put the interests of his Race before his own. He was a man who, while moody, you always knew was true to Creativity. While with me anyway, he did not talk a great deal, it was always obvious by his action where he stood
... the society in which he (as well as ourselves) was forced to live is so thoroughly disgusting that only the most denatured man or woman would not ever, however breifly [sic], comtemplate [sic] doing what he did. With mongrel monstrosities walking the streets, soaring ""hate""
crime against White people everywhere, a government in the hands of the most bestial gang in history - the Jews, and the White masses largely in stupor, it is actually surprising that more of our White Racial Comrades have not acted as August acted. That the Church does notcondone his acts does not affect the reality that when a people is kicked around like a dog, someone might indeed be bitten ... . Our Brother August Smith will continue to live on in all of us. His actions resulted in Creativity being brought to the attention of the world. Now it is up to us to utilize the attention Creativity has received and ride the wave of publicity which his actions either intentionally or unitentionally [sic] created for us. This is what he would have wanted, and what we must indeed do. RAHOWA!",White Supremacist,Radicalization,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,America is dead! Long live America!,White Supremacist,Propaganda,USA,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,"to create an atmosphere of fear and change in which drastic, powerful and revolutionary action can occur.",White Supremacist,Recruitment,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Every girl loves a mass-murderer,White Supremacist,Recruitment,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Turn your sadness into rage,White Supremacist,Propaganda,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Making Whites Savage Again,White Supremacist,Recruitment,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Join or die with rest,White Supremacist,Recruitment,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Only right is right of lead,White Supremacist,Radicalization,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Join the Atomwaffen division,White Supremacist,Recruitment,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,Firebomb your local synagogue,White Supremacist,Radicalization,-,USA,
"Bridget Johnson ""https://www.hstoday.us/subject-matter-areas/counterterrorism/shared-themes-recruitment-tactics-in-white-supremacist-and-islamist-extremist-propaganda/""",Website,"If you have the bug, give a hug. Spread the flu to every Jew",White Supremacist,Radicalization,-,USA,
"Gernstenfeld ""Hate Online: A Content Analysis of Extremist
Internet Sites""",Website,"Well friends, he is not a legitimate reverend, he is not a bona fide PhD, and his name isnaint really the Martin Luther King, Jr. Whats left? Just a sexual degenerate, an America-hating Communist, and a criminal betrayer of even the interests of his own people.",White Supremacist,Propaganda,-,USA,
"ADL report Feb 2020 ""https://www.adl.org/blog/white-supremacists-double-down-on-propaganda-in-2019""",Report,One Nation against invasion,White Supremacist,Propaganda,-,USA,
"ADL report Feb 2020 ""https://www.adl.org/blog/white-supremacists-double-down-on-propaganda-in-2019""",Report,For Nation Against the State,White Supremacist,Propaganda,-,USA,
"ADL report Feb 2020 ""https://www.adl.org/blog/white-supremacists-double-down-on-propaganda-in-2019""",Report,America is not for sale,White Supremacist,Propaganda,USA,USA,
"ADL report Feb 2020 ""https://www.adl.org/blog/white-supremacists-double-down-on-propaganda-in-2019""",Report,Deport them all,White Supremacist,Propaganda,-,USA,
https://www.bridgemi.com/michigan-government/amid-diversity-debate-white-supremacists-recruit-upper-peninsula-school,Website,Reclaim America,White Supremacist,Recruitment,USA,USA,
Busines Insider Sonam Seth Jun 2 2020 https://www.businessinsider.in/politics/world/news/a-white-supremacist-channel-on-telegram-encouraged-followers-to-incite-violence-during-police-brutality-protests-by-shooting-in-a-crowd-according-to-internal-dhs-memo/articleshow/76151003.cms,Website,"Now that we clearly see Antifa as terrorists, can we hunt them down like we do those in the Middle East?",White Supremacist,Radicalization,USA,USA,
Vox Pol Fabio https://www.vox.com/21506029/trump-violence-tweets-racist-hate-speech,Website,"When Mexico sends its people, theyâ€™re not sending their best. Theyâ€™re not sending you. Theyâ€™re not sending you. Theyâ€™re sending people that have lots of problems, and theyâ€™re bringing those problems with us. Theyâ€™re bringing drugs. Theyâ€™re bringing crime. Theyâ€™re rapists. And some, I assume, are good people.",White Supremacist,Radicalization,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,We will vanquish the modern world in totality,White Supremacist,Recruitment,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,"join us, or perish with the rest",White Supremacist,Recruitment,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,We pledge our allegiance to AtomWaffen Division,White Supremacist,Recruitment,-,USA,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,to shake the state and social order in Germany and in the end to overturn it,White Supremacist,Recruitment,Germany,-,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,The belief that a social systemâ€™s internal contradictions should be pushed to their limits in order to encourage rather than overcome thesystemâ€™s self-destructive tendencies. This is done to hasten the systemâ€™s collapse or demise as well as create space for radical social change to take root. ,White Supremacist,Radicalization,,,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,"join,family,group",White Supremacist,Recruitment,,,
