ID,Source,Type of Source,Text,Label,Geographical_Location,Author_Country_Affiliation
136,https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,No matter how the kufaar detest the fact that there shall be an attack on their disbelieving citizens soon. ITS GONNA HAPPEN YAA KUFAAR!,Recruitment,-,USA
137,https://www.counterextremism.com/extremists/abu-bakr-al-iraqi-aka-milk-sheikh,Website,"the Positive consequences of #brusselsattack is that Belgium will carry out mass arrests, which will lead to further recruitment for IS",Recruitment,Belgium,USA
138,https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,I can not be bothered by hidden messages anymore! So please message me if you want to kill kuffar #IS,Recruitment,-,USA
139,https://www.counterextremism.com/content/isis-recruiters-propagandists-and-inciters-violence-operating-twitter,Website,We're waiting in Raqqah to behead the PKK. We can smell their blood already. #IS,Recruitment,-,USA
140,https://www.counterextremism.com/extremists/neil-prakash,Website,May Allah reward the one who spreads this account #IS,Recruitment,-,USA
141,https://www.counterextremism.com/extremists/neil-prakash,Website,For  help with Hijrah you can come to me or any of my beloved brothers,Recruitment,-,USA
142,https://www.counterextremism.com/extremists/abu-samir-almaghrebi-aka-zoutedrop3434,Website,If people just know what Allah says in the Qur'an about people staying behind and not going forth in his cause. They are the losers.,Propaganda,-,USA
143,https://www.counterextremism.com/extremists/abu-samir-almaghrebi-aka-zoutedrop3434,Website,if someboy knows a trusted brother in the blessed land. Please contact me DM. I need some help.,Recruitment,-,USA
144,https://www.counterextremism.com/extremists/epic,Website,IS needs few hundred fighters to establish territory in France,Recruitment,France,USA
145,https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,whoever can giv me a ShoutOut should please do so cos you'll be helpin raise awareness about hijrah to IS Libya. Your reward is with Allah.,Recruitment,Libya,USA
146,https://www.counterextremism.com/extremists/ali-al-foutawi-aka-alifoutawiiv,Website,Yes! I am a Terrorist! Kill Kill Kill infidel ,Recruitment,-,USA
147,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"This is the time for Muslim Kurds in Turkey to
show whether they can ever counter PKK.",Recruitment,Turkey,USA
148,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@EbuRuana so if it is not right to make dua [the
Islamic act of calling out to Allah] for a kafir [a
disbeliever, someone who rejects Allah and who
does not believe in Muhammad as the final
messenger of Allah], what is the right thing to do
?",Recruitment,-,USA
149,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@banihillal blend in like you are the most anti-
jihadist guy one can think of. @isinlibya
@ummussamah11",Recruitment,Libya,USA
150,"Chatfield et.al ""Tweeting propaganda, radicalization and recruitment: Islamic state supporters multi-sided twitter networks""",Research Article,"@DaniyalYasin93 The question is to you:can
you,as a Muslim,counter-argue any of the points
made in that segment quoted from Dabiq
Magazine?",Recruitment,-,USA
151,"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"If you need to contact me then follow me on Twitter
(@_UmmLayth) or Kik me (_axa)",Recruitment,-,USA
152,"Leah Windsor ""The Language of Radicalization: Female Internet Recruitment to Participation in ISIS Activities""",Research Article,"And I am in no way demeaning those who havent yet
embarked upon this journey and most importantly I am not
at all deterring sisters from choosing this path—I just want to
paint a realistic picture of what is in store for the sisters here.",Recruitment,-,USA
153,"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article," Allahu Akbar, 5 Jews were sentto hell by two brave Muslims. Allahu Akbar, if only every   Muslim   could   kill   1   Jew,   everything   would   change",Recruitment,-,USA
154,"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,We  are  your  brothers  from  Indonesia  who  have  come  to  the  Islamic State. We emigrated for the sake of hijrah and jihad following in the path of Allah.,Recruitment,Indonesia,USA
155,"Almutairi 2017 ""SOCIAL MEDIA AS A RECRUITMENT TOOL FOR ISIS""",Research Article,"We need the engineers, the doctors, the professionals, we need volunteers and fundraising, we need everything and there is a role for everybody. Every person can contribute something to the Islamic State. If you cannot fight, you can give money, and if you cannot give money, you can assist in technology, if you cannot assist in technology, you can use some other skills, you can even come here and help rebuild . . . There is a role for everyone here in Syria.” ",Recruitment,-,USA
